eva,decoded,language
alos,ATAS,latin
qokiir,NACMR,latin
okeeam,FCIAM,latin
sheoltey,HEATCES,latin
shekar,HECAR,latin
sydy,SSUS,latin
fol,JAT,latin
sheek,HIC,latin
raral,RARAT,latin
qokshd,NACHT,latin
qotedal,NACEUAT,latin
shetey,HECES,latin
cheer,DIR,latin
qokaiir,NACAMR,latin
akar,ACAR,latin
tosheo,TAHEO,latin
okchdal,FCUAT,latin
teeodaiin,TIAUAMN,latin
keeodal,GIAUAT,latin
soar,SAAR,latin
sheees,HIES,latin
cheteey,DECIS,latin
okeosar,FCEASAR,latin
sotey,SACES,latin
sheokeey,HEACIS,latin
oteodal,FCEAUAT,latin
otoky,FCACS,latin
dalary,LATARS,latin
aloiin,ATAMN,latin
yteos,QUCEAS,latin
qokeochy,NACEAS,latin
oeeos,FIAS,latin
oekey,FECES,latin
chso,DSO,latin
osheey,FHIS,latin
cheeteey,DICIS,latin
odchey,FUES,latin
tsheeor,THIAR,latin
otchoky,FCACS,latin
cheoal,DEAAT,latin
cheorol,DEARAT,latin
shdar,HUAR,latin
okolshy,FCATHS,latin
seeey,SIES,latin
qety,NECS,latin
eeody,IAUS,latin
sheetey,HICES,latin
salar,SATAR,latin
shsdy,HSUS,latin
oteeys,FCISS,latin
choikhy,DAICHS,latin
teeos,TIAS,latin
ykeeos,QUCIAS,latin
aloly,ATATS,latin
dairam,LAIRAM,latin
yteeo,QUCIO,latin
otaldal,FCATUAT,latin
otoar,FCAAR,latin
oteeal,FCIAT,latin
choekeey,DAECIS,latin
cheeod,DIAT,latin
qetal,NECAT,latin
okeeal,FCIAT,latin
ykees,QUCIS,latin
shopcho,HAPO,latin
oteeo,FCIO,latin
okeedaly,FCIUATS,latin
sheodaly,HEAUATS,latin
oteedar,FCIUAR,latin
teodaiin,TEAUAMN,latin
shoteeody,HACIAUS,latin
otodal,FCAUAT,latin
cheokeeo,DEACIO,latin
oto,FCO,latin
okeodaly,FCEAUATS,latin
shldy,HTUS,latin
cheolor,DEATAR,latin
alo,ATO,latin
qokeodal,NACEAUAT,latin
otais,FCAIS,latin
yly,QUTS,latin
okeeoy,FCIAS,latin
alkam,ATCAM,latin
oeol,FEAT,latin
otedar,FCEUAR,latin
cholairy,DATAIRS,latin
oteoldy,FCEATUS,latin
tear,TEAR,latin
daraly,LARATS,latin
toly,TATS,latin
ytedar,QUCEUAR,latin
ykaipy,QUCAIPS,latin
alshy,ATHS,latin
qey,NES,latin
day,LAS,occitan
qoked,NACET,latin
sheety,HICS,latin
rshey,RHES,latin
keed,GIT,latin
taral,TARAT,latin
qokydy,NACSUS,latin
qoted,NACET,latin
okeedal,FCIUAT,latin
cheed,DIT,latin
qotes,NACES,latin
qeeey,NIES,latin
okeed,FCIT,latin
qolal,NATAT,latin
yksheol,QUCHEAT,latin
otalam,FCATAM,latin
rory,RARS,latin
polarar,MATARAR,latin
qoteed,NACIT,latin
shedam,HEUAM,latin
oleeedy,FTIEUS,latin
deedy,LIUS,latin
sheolol,HEATAT,latin
qodeey,NAUIS,latin
salkeedy,SATCIUS,latin
psheoldy,MHEATUS,latin
shtal,HCAT,latin
ychees,QUIS,latin
qeedy,NIUS,latin
sheed,HIT,latin
qeey,NIS,latin
oin,FIN,latin
cheety,DICS,latin
shdal,HUAT,latin
tchedar,TEUAR,latin
qedy,NEUS,latin
salchedy,SATEUS,latin
qotas,NACAS,latin
soey,SAES,latin
shekedy,HECEUS,latin
qeedar,NIUAR,latin
sheekeey,HICIS,latin
qolshy,NATHS,latin
qoteesy,NACISS,latin
shoikhy,HAICHS,latin
oikhy,FICHS,latin
chkam,DCAM,latin
qolar,NATAR,latin
oroiiin,FRAMIN,latin
ksheol,GHEAT,latin
okolo,FCATO,latin
fshedy,JHEUS,latin
chetain,DECAIN,latin
korchy,GARS,latin
rcheky,RECS,latin
shekaiin,HECAMN,latin
totol,TACAT,latin
qotl,NACT,latin
okaiiin,FCAMIN,latin
oithy,FICHS,latin
solcheol,SATEAT,latin
yar,QUAR,latin
deeedy,LIEUS,latin
otedal,FCEUAT,latin
qokedal,NACEUAT,latin
qeeedy,NIEUS,latin
cheedar,DIUAR,latin
raly,RATS,latin
chepchedy,DEPEUS,latin
qotedar,NACEUAR,latin
qoeeo,NAIO,latin
cheeaiin,DIAMN,latin
alkedy,ATCEUS,latin
yoiin,QUAMN,latin
tarar,TARAR,latin
otedam,FCEUAM,latin
cheolkeedy,DEATCIUS,latin
shdair,HUAIR,latin
tdain,TUAIN,latin
dairar,LAIRAR,latin
tedair,TEUAIR,latin
fcheey,JIS,latin
qotchd,NACT,latin
orchedy,FREUS,latin
yy,QUS,latin
keear,GIAR,latin
saldam,SATUAM,latin
qear,NEAR,latin
sheokaiin,HEACAMN,latin
odeeey,FUIES,latin
qotchedar,NACEUAR,latin
ycheeody,QUIAUS,latin
cheodor,DEAUAR,latin
shkeody,HCEAUS,latin
ykeeor,QUCIAR,latin
qokeod,NACEAT,latin
qoekol,NAECAT,latin
cheokal,DEACAT,latin
qokeo,NACEO,latin
cheokam,DEACAM,latin
ysheod,QUHEAT,latin
korain,GARAIN,latin
qkol,NCAT,latin
yshor,QUHAR,latin
ysheeo,QUHIO,latin
oeeor,FIAR,latin
cheok,DEAC,latin
okeeeo,FCIEO,latin
okeoy,FCEAS,latin
otalsy,FCATSS,latin
qekor,NECAR,latin
okols,FCATS,latin
dairair,LAIRAIR,latin
tocheo,TAEO,latin
qoekeey,NAECIS,latin
sokeey,SACIS,latin
keeos,GIAS,latin
qkeody,NCEAUS,latin
oleees,FTIES,latin
okeam,FCEAM,latin
keeeol,GIEAT,latin
cheodam,DEAUAM,latin
qoteeo,NACIO,latin
qekeey,NECIS,latin
teedal,TIUAT,latin
toky,TACS,latin
tchdor,TUAR,latin
alod,ATAT,latin
tshod,THAT,latin
odaly,FUATS,latin
tshdol,THUAT,latin
kshed,GHET,latin
qokeeod,NACIAT,latin
toaiin,TAAMN,latin
oeo,FEO,latin
teo,TEO,latin
sosar,SASAR,latin
salo,SATO,latin
ykhey,QUCHES,latin
okolol,FCATAT,latin
soral,SARAT,latin
cheokeol,DEACEAT,latin
sheoey,HEAES,latin
ssheo,SHEO,latin
ydar,QUUAR,latin
chedo,DEUO,latin
deeor,LIAR,latin
eeol,IAT,latin
qoeeol,NAIAT,latin
qokeear,NACIAR,latin
ssheey,SHIS,latin
darchedy,LAREUS,latin
qotear,NACEAR,latin
okeeshy,FCIHS,latin
tokain,TACAIN,latin
oteeam,FCIAM,latin
okeedar,FCIUAR,latin
qkain,NCAIN,latin
qodaiiin,NAUAMIN,latin
oeeal,FIAT,latin
airod,AIRAT,occitan
ysheo,QUHEO,latin
ysheeody,QUHIAUS,latin
qotaiiin,NACAMIN,latin
ychedaiin,QUEUAMN,latin
oeedaiin,FIUAMN,latin
qotched,NACET,latin
sairol,SAIRAT,latin
adam,AUAM,latin
yteeey,QUCIES,latin
teedar,TIUAR,latin
ylkaiin,QUTCAMN,latin
airal,AIRAT,occitan
aiidy,AMUS,latin
eesy,ISS,latin
ail,AIT,latin
ksheeol,GHIAT,latin
rody,RAUS,latin
kairam,GAIRAM,latin
daiiral,LAMRAT,latin
sheeodar,HIAUAR,latin
shkar,HCAR,latin
okarol,FCARAT,latin
ko,GO,latin
cheokaiin,DEACAMN,latin
otaral,FCARAT,latin
kais,GAIS,latin
ycheain,QUEAIN,latin
pairar,MAIRAR,latin
kalkal,GATCAT,latin
aty,ACS,latin
qaiin,NAMN,latin
dalkedy,LATCEUS,latin
arain,ARAIN,latin
keedain,GIUAIN,latin
sholkeedy,HATCIUS,latin
cheokedy,DEACEUS,latin
teed,TIT,latin
qoteal,NACEAT,latin
tarol,TARAT,latin
oteedal,FCIUAT,latin
ykeedain,QUCIUAIN,latin
ychedal,QUEUAT,latin
okchdar,FCUAR,latin
ycheod,QUEAT,latin
cheoaiin,DEAAMN,latin
shkchedy,HCEUS,latin
qokaram,NACARAM,latin
okchedam,FCEUAM,latin
cheedain,DIUAIN,latin
chedaiiin,DEUAMIN,latin
rodam,RAUAM,latin
loeees,FIES,latin
olfchedy,JEUS,latin
lkeo,GEO,latin
lcheam,DEAM,latin
lko,GO,latin
lkeed,GIT,latin
olfchey,JES,latin
lkam,GAM,latin
loiiin,FMIN,latin
lkeeo,GIO,latin
lcheod,DEAT,latin
lfchedy,JEUS,latin
lkcheo,GEO,latin
olkam,GAM,latin
olkeeo,GIO,latin
chyd,QUT,latin
dys,QUS,latin
oltydy,TSUS,latin
olkeear,GIAR,latin
adar,ADAR,hebrew
aiim,AMARA,latin
aim,AMARA,latin
chaim,DIEM,latin
cheom,DEUM,latin
daiim,OLEUM,latin
daim,LAIN,occitan
daoly,DELI,hebrew
doair,ADAR,hebrew
geedy,GEDI,hebrew
ithor,TAHOR,hebrew
kaisar,QAISAR,hebrew
ocheos,DEOS,latin
ofar,JAR,latin
ofchdy,JUS,latin
ofchedy,JEUS,latin
ofchey,JES,latin
ofchor,JAR,latin
okoaiin,GAUM,latin
okoiin,GAMN,latin
oksho,GHO,latin
okshor,GHAR,latin
oldaim,LAIN,occitan
oqokain,NOCAN,occitan
oqol,NON,latin
orary,ARS,latin
osar,SARE,occitan
oshedy,HEUS,latin
oshey,HEC,occitan
otaim,TEOM,hebrew
otamy,TAMEI,hebrew
oteodaiin,TEAUAMN,latin
oteom,TEOM,hebrew
otodaiin,TAUAMN,latin
otoiin,TAMN,latin
otshedy,THUS,latin
otsho,THO,latin
otshol,THAT,latin
saiim,SUMMA,latin
saim,SAIN,occitan
shalom,SHALOM,hebrew
taim,CUM,latin
taly,TELI,hebrew
ylaiin,ILAN,hebrew
qot,NO,latin
chofchy,FAC,latin
chot,DEO,latin
cky,DECUS,latin
cty,SIC,latin
chcky,DECUS,latin
qofol,FUIT,latin
ctchy,SENECIO,latin
arg,AD,latin
chodalg,FUAT,latin
coy,DOSIS,latin
chop,DEO,latin
qofcho,NAO,latin
ofchy,FAC,latin
ofchar,FAR,latin
yfchy,DIES,latin
daing,LAIN,occitan
yfchor,DEA,latin
alg,AL,occitan
ylg,QUT,latin
chforaiin,FORMA,latin
ctey,TES,latin
ofchory,DARIS,latin
tco,SCABIE,latin
ctos,TOS,latin
shot,HABE,occitan
chyt,DIES,latin
qofchedy,EIUS,latin
qokeefcy,NOCIS,latin
qop,NO,latin
chefchol,DEDIT,latin
ctol,TERTIO,latin
dorg,LUX,latin
qofockhdy,NODUS,latin
cs,DES,occitan
amg,AM,latin
chefchy,ES,latin
co,DEO,latin
cy,DIES,latin
okchop,FCO,latin
ofy,FAC,latin
chefal,DICIT,latin
chefaiin,DUM,latin
chefain,DEAIN,latin
ofair,FAIR,occitan
chepchefy,DEPES,latin
ofaiin,FAMA,latin
ctoiin,TAMN,latin
yfchdy,ALIUS,latin
sheet,HE,latin
yfor,QUAR,latin
yfchey,DES,occitan
shckhefy,HEC,occitan
chokolg,OPTAT,latin
ctchey,DES,occitan
dchog,DEO,latin
qokg,NAC,latin
shokog,FCO,latin
sarg,SARE,occitan
ckaiin,DICAM,latin
qofair,AURUM,latin
chokyt,DECUS,latin
ckchol,GRATIA,latin
shotchot,FCO,latin
cheop,DEO,latin
sheep,HE,latin
cholfy,FLOS,latin
olfcham,DAM,latin
org,OR,occitan
yfair,QUAIR,latin
cheot,DEO,latin
ykcol,GRATIA,latin
qofchy,NOS,latin
ofaram,AM,latin
shofol,HAAT,latin
shekeefy,BIS,latin
ofor,VER,latin
ocs,OS,latin
cckheor,DECOR,latin
ofcheor,DECOR,latin
chcs,DES,occitan
ctar,TARTARUM,latin
shep,HE,latin
otalalg,AL,occitan
cpar,AD,latin
chfaly,ALS,occitan
sheot,HUC,latin
opalg,AL,occitan
oteedyg,LAETIS,latin
chefy,DES,occitan
yfaiin,AMARA,latin
qolp,NON,latin
cpchy,ARIETE,latin
lfcheol,DEDIT,latin
chfaiin,DIEM,latin
qofchey,NOCES,latin
dag,LA,latin
ofshdy,HIS,occitan
ofal,DOLOR,latin
qfol,NON,latin
ckol,GRATIA,latin
yfchedy,DEUS,latin
olfor,FLORA,latin
cheefar,DECOR,latin
scody,SANC,latin
lfchy,DIES,latin
qokeog,NACEO,latin
sfal,SAL,latin
ofcheol,DEDIT,latin
dalg,DICIT,latin
qofchol,FUIT,latin
chofy,DOSIS,latin
dsheog,HUC,latin
qofain,AN,occitan
dalfchy,ALS,occitan
qofaiin,NOMEN,latin
qofchdaiin,NOVUM,latin
chefar,DECOR,latin
ckey,GENUS,latin
ctody,CORTICE,latin
cholp,DAT,latin
chofol,FUIT,latin
chefoly,ET,latin
ofcho,FO,latin
cholfor,FLORA,latin
olfaiin,FILUM,latin
chefchey,DIS,latin
sheefy,HIS,occitan
alfo,ATO,latin
shoefy,ES,latin
sholfaiin,FILUM,latin
choefy,FECES,latin
olfy,FLOS,latin
lfchal,DAT,latin
okcheefy,FACIS,latin
shet,HE,latin
cheefy,DIS,latin
chalg,DAT,latin
kolfchdy,DATUS,latin
alog,ATO,latin
chcty,SIC,latin
rfam,RAMUS,latin
shfy,HIC,latin
syaiir,QUAMR,latin
cthoary,ARS,latin
ooiin,VINUM,latin
oydar,QUUAR,latin
oschy,SIC,latin
kshoy,HORAS,latin
shodan,FUAN,latin
kshy,HIC,latin
kchom,OM,latin
shokcheey,FACIS,latin
lkody,GNUS,latin
dksheey,GHIS,latin
kotchody,LATUS,latin
sochey,FECES,latin
potoy,LAS,occitan
otoaiin,TAAMN,latin
dolo,FTO,latin
chtod,TAT,latin
daiiny,ET,latin
kydain,LAIN,occitan
daiirol,LAIRAT,latin
shty,SIC,latin
chokeos,SED,latin
shom,OM,latin
oporar,AD,latin
olytol,TERTIO,latin
seees,IES,latin
kcham,DAM,latin
shtchy,SENECIO,latin
shytchy,QUAS,latin
shyshol,QUHAT,latin
shkchor,GRADU,latin
shtaiin,CUM,latin
kshody,HORTUS,latin
pshod,HAT,latin
shokeeol,FACIT,latin
poeear,FIAR,latin
odshe,HE,latin
kaiim,AMARA,latin
koar,FAR,latin
chodam,FUAM,latin
ocholy,FLOS,latin
oeeees,FIES,latin
chald,ATT,latin
deees,IES,latin
shotcho,FCO,latin
qoteeeo,NACIO,latin
scho,DEO,latin
oksheo,GHEO,latin
kshey,HEC,occitan
kchs,DES,occitan
opcheaiin,DUM,latin
otorchy,TARS,latin
oykeey,QUAM,latin
chokoiin,GAMN,latin
dsholdy,ALIUS,latin
shydal,DICIT,latin
ypcheey,DES,occitan
kyty,QUAS,latin
chshoty,SIC,latin
kom,OM,latin
oykchor,GRADU,latin
oqotar,NOCAR,occitan
schoal,DOLOR,latin
chodl,FUT,latin
tan,TAM,latin
dypchy,ARIETE,latin
shkchy,BONUS,latin
sotchy,LAUDIS,latin
koair,FAIR,occitan
chtoiin,TAMN,latin
koky,FACIS,latin
shoin,FIN,latin
shokshor,GHAR,latin
darody,FIDES,latin
dchyd,QUT,latin
oykshy,QUCHS,latin
saiiin,AMARA,latin
sky,AC,occitan
poror,OR,occitan
soloiin,VINUM,latin
sykaiin,QUAM,latin
oshaiin,HAMA,latin
dtoaiin,TAAMN,latin
sokchy,FACIS,latin
chypchy,ARIETE,latin
sholo,FTO,latin
sokar,FOCAR,occitan
som,OM,latin
opchordy,DARUS,latin
dychear,QUEAR,latin
odaldy,LATUS,latin
oytor,QUARE,latin
sholor,FLORA,latin
sotchaiin,LIMA,latin
dchydy,ALIUS,latin
oscheor,SEX,latin
tdaiin,TUAIN,latin
kdchody,ODORATUS,latin
chokoaiin,GAUM,latin
cheeen,DIN,latin
choees,FIS,latin
schodain,FANUM,latin
chokoldy,ALIUS,latin
ochoaiin,FAMA,latin
dchod,DAT,latin
choraly,FRATS,latin
shoeor,VER,latin
dydain,LAIN,occitan
sokaiin,FOCUM,latin
shotoly,ET,latin
opyaiin,AMARA,latin
ofchol,JAT,latin
olfchor,JAR,latin
ldals,SED,latin
sholol,FUIT,latin
otshor,THOR,latin
oloiir,VER,latin
oloro,FRO,latin
odchees,DEIS,latin
chorom,OM,latin
okodaiin,GAUAMN,latin
odaiim,OLEUM,latin
ocholdy,ALIUS,latin
shair,AURUM,latin
oso,SO,latin
psheoky,FACIS,latin
chypchey,DES,occitan
pcheety,DICS,latin
deeol,IAT,latin
eeeody,IAUS,latin
qokes,NOCIS,latin
ksor,SERUM,latin
shoteo,FCEO,latin
kcheed,DIT,latin
schodar,DATUR,latin
sotchdy,LAETUS,latin
kchoror,RORIS,latin
chokshy,FACHS,latin
olals,SED,latin
chteor,CERA,latin
shorchey,DES,occitan
deeey,IES,latin
dkeeor,GIOR,latin
kchydy,ALIUS,latin
shso,SO,latin
dkarar,GARAR,latin
cheeoy,DEOS,latin
shykeody,QUALITAS,latin
dcheodain,LAIN,occitan
soty,LAUS,latin
skey,GENUS,latin
shdor,LUX,latin
lfchdy,JUS,latin
dolr,RECIPE,latin
dodl,FUT,latin
porar,AD,latin
oltey,TES,latin
kaldaiin,OLEUM,latin
ked,GIT,latin
kschdy,DATUS,latin
shdydy,ALIUS,latin
spaiin,AMARA,latin
loees,FIS,latin
dykey,GENUS,latin
lodaly,FUATS,latin
chosar,SARE,occitan
schokey,FOCES,latin
otod,TAT,latin
chon,OM,latin
sokchor,FACERE,latin
ykeeols,QUCEATS,latin
oyteey,QUIES,latin
okshol,GHAT,latin
opchekaiin,DECUM,latin
shdalo,LO,latin
syky,QUOS,latin
oshdy,HIS,occitan
shky,AC,occitan
shokor,FACERE,latin
qokaim,NOCAN,occitan
dalain,AN,occitan
chkchod,GAT,latin
ykeod,QUCIAT,latin
shdchdy,DATUS,latin
daiiry,ET,latin
chotais,FCAIS,latin
kshaiin,HAMA,latin
kshes,HABES,latin
choro,FRO,latin
shols,FLOS,latin
shochol,FEL,latin
chtey,TES,latin
oykeedy,QUALIS,latin
daldar,DICIT,latin
shee,HE,latin
dykeedain,QUCIUAIN,latin
darod,ARAT,latin
koees,FIS,latin
kshotol,TERTIO,latin
shysho,HABE,occitan
ocheeky,DICIS,latin
oyd,QUT,latin
oyty,QUAS,latin
opchod,DAT,latin
keees,IES,latin
kolsho,HABE,occitan
korary,ARS,latin
chko,GO,latin
olald,ATT,latin
shoto,FCO,latin
chdalor,LOR,occitan
karal,AURAT,latin
sholkal,CALE,latin
dykaly,ET,latin
schesy,ET,latin
dsholy,ET,latin
chotcho,FCO,latin
keesy,ISS,latin
pshdaiin,HUUM,latin
yteeol,TERAT,latin
poshol,FHAT,latin
shshes,HABES,latin
sheeod,HEAT,latin
kshodaiin,HORTUM,latin
ochokeey,FACIS,latin
opcheodal,DICIT,latin
shocho,FO,latin
qokeaiin,NOCEAN,latin
chariin,ARMN,latin
olkais,GAIS,latin
solkchy,BONUS,latin
dariin,ARMN,latin
shotchdy,LAETUS,latin
tchodain,OLEUM,latin
oloeedy,FITIS,latin
dcheodaiin,OLEUM,latin
dscheey,SIS,latin
olcheety,DICS,latin
shodaim,LAIN,occitan
cthodaiis,LAMS,latin
kcholy,FLOS,latin
sholoiin,VINUM,latin
kodam,FUAM,latin
oqoor,NOX,latin
oltsho,THO,latin
sheetchy,SIC,latin
okeodaiin,GEAUAMN,latin
kodl,FUT,latin
sheekal,CALE,latin
dcheaiin,DUM,latin
qodaim,LAIN,occitan
chas,AS,latin
dchykey,GENUS,latin
oedaiin,FIUAMN,latin
ykan,QUCAM,latin
kchoar,FAR,latin
choteeey,LIS,latin
sokchol,OPTAT,latin
poeeo,FIO,latin
shkchey,GENS,latin
chteody,SANC,latin
cheeodam,DEAUAM,latin
kodain,FANUM,latin
ofol,JAT,latin
dkedar,GEUAR,latin
olkchdal,GUAT,latin
dshodal,DICIT,latin
shaly,ALS,occitan
dalchor,OR,occitan
sholaiin,FILUM,latin
chairal,AIRAT,occitan
qopaiim,AMARA,latin
ochaly,ALS,occitan
qoaiir,AURUM,latin
opcheear,DECOR,latin
odalar,AD,latin
oqotaly,ET,latin
shokalol,FUIT,latin
sharal,AURAT,latin
sholar,FAR,latin
dtshol,THAT,latin
opaldaiin,OLEUM,latin
olkaly,GATS,latin
salal,ALOE,latin
yteo,QUCIO,latin
cheoteey,DEACES,latin
syly,QUTS,latin
qotesy,NACISS,latin
shddy,ALIUS,latin
shokaiir,FCAMR,latin
kcheeky,DICIS,latin
ysheeod,QUHEAT,latin
otcheo,TEO,latin
shokeshy,FACEHS,latin
kodal,FUAT,latin
kotody,LATUS,latin
dakar,ACAR,latin
chkchody,ANNUS,latin
chokeed,FCIT,latin
teodain,TEAUAMN,latin
sochy,FAC,latin
oekain,FECAMN,latin
dfar,JAR,latin
dchodar,DATUR,latin
soeor,VER,latin
oran,AM,latin
sakar,ACAR,latin
solair,AURUM,latin
solal,AL,occitan
kchochy,FAC,latin
chokeear,FACIAR,latin
opcheeol,DIAT,latin
okeeodal,GIAUAT,latin
kcheoey,ES,latin
ochory,DARIS,latin
dcheoldy,DENS,latin
oteeeor,LIOR,latin
oeeeo,FIO,latin
oshchey,HEC,occitan
oschaiin,SUMMA,latin
kchoty,DATUS,latin
kcheoly,ET,latin
ykes,QUCIS,latin
kodar,ODAR,occitan
olsey,SES,latin
chshek,HEC,occitan
ocheol,DEDIT,latin
chdail,LAIT,latin
schekol,DECAT,latin
ocheky,DICIS,latin
choekey,FECES,latin
shteody,SANC,latin
scheos,DEOS,latin
cheteedy,DECEUS,latin
chkorchy,GARS,latin
oteodain,TEAUAMN,latin
tcheeos,TRES,latin
shkechy,GENS,latin
chtaly,TELI,hebrew
dchochar,FAR,latin
cholam,AM,latin
shkchody,ANNUS,latin
soir,FIR,latin
chokeod,FCEAT,latin
okchos,GAS,latin
oaram,AM,latin
shshy,HIC,latin
ytaiir,QUCAIR,latin
oparam,AM,latin
dyshol,QUHAT,latin
shkal,CALE,latin
doithy,FICHS,latin
oteeodar,LAVAR,occitan
sheedal,DICIT,latin
oches,DES,occitan
chtam,TAM,latin
chotear,LAAR,latin
oteeeo,FCIO,latin
opys,QUS,latin
qoteeal,NACEAT,latin
shoekey,FECES,latin
chsary,ARS,latin
osheo,HUC,latin
parar,AD,latin
oteeodaiin,TIAUAMN,latin
shseor,SEX,latin
teeey,TUIS,latin
opalar,AD,latin
opalor,OR,occitan
chtos,TOS,latin
sholshdy,HIS,occitan
chalaiin,AMARA,latin
shda,LA,latin
oqokar,NOCAR,occitan
otedo,TEUO,latin
otoees,TAIS,latin
okarar,GARAR,latin
opoeey,FIS,latin
cheem,DIN,latin
olaikhy,AICHS,latin
soees,FIS,latin
chokory,ET,latin
oteeeody,LINUS,latin
sholeey,IS,latin
shdary,ARS,latin
okeeoly,FAC,latin
odody,FIDES,latin
shaldy,ALTUS,latin
oeeody,IAUS,latin
soteees,LIES,latin
dalshey,HEC,occitan
olalaiin,AMARA,latin
opals,SED,latin
olkcho,GO,latin
ssheol,HERBA,latin
shokain,FOCAN,occitan
shtol,TERTIO,latin
sorol,FORAT,latin
ocheain,DEAIN,latin
oloin,FIN,latin
odchedy,DEUS,latin
charor,OR,occitan
olshees,HIS,occitan
tedar,TIUAR,latin
kolkedy,GENUS,latin
oqoky,NOCS,latin
sheeoldy,HEATUS,latin
loral,AL,occitan
olsheed,HIT,latin
solshey,HEC,occitan
qolkeeey,BIS,latin
otedair,TEUAIR,latin
opshedal,DICIT,latin
loiiim,FMIN,latin
qolkey,BIS,latin
scheer,DIR,latin
lshees,HIS,occitan
lsan,SAN,latin
dotedy,LAETUS,latin
solteedy,SITIS,latin
sokcheey,FACIS,latin
qolcheedy,NASUS,latin
olaiiny,ET,latin
saiirol,SAIRAT,latin
olkeedal,GIUAT,latin
tedal,TIUAT,latin
qoraiin,RAN,latin
sheekey,GENUS,latin
lfol,JAT,latin
solkchedy,GENUS,latin
sokol,OPTAT,latin
oted,FCIT,latin
daiil,LAIT,latin
dalky,AC,occitan
kotaly,LAUDIS,latin
dchedaly,ALS,occitan
orory,RARS,latin
spchy,ARIETE,latin
kshedy,HEUS,latin
solor,FLORA,latin
oltshedy,THUS,latin
ycheear,QUEAR,latin
skain,BAIN,occitan
orsheedy,HUIUS,latin
oltoiin,TAMN,latin
dykshy,QUCHS,latin
solky,AC,occitan
shkeol,GERAT,latin
las,AS,latin
dolfchedy,JEUS,latin
oeeedy,IEUS,latin
ochedar,DECOR,latin
osheedy,HUIUS,latin
parody,FIDES,latin
okais,GAIS,latin
olkshdy,GHUS,latin
dykain,BAIN,occitan
sotaiin,LIMA,latin
sshol,HABET,latin
kolchdy,DATUS,latin
lsoraiin,FORMA,latin
lochedy,FTIS,latin
olko,GO,latin
sokoly,FAC,latin
qolkedy,BIS,latin
olchesy,ET,latin
solshed,HEU,latin
skal,CALE,latin
schety,DATIS,latin
soldy,ALIUS,latin
cheeety,DICS,latin
olsaly,ALS,occitan
solkey,GENUS,latin
skar,GARUM,occitan
ldalor,LOR,occitan
chtair,TAIR,latin
chaloly,ATATS,latin
oqo,NO,latin
oyshey,HEC,occitan
olkeed,GIT,latin
skeey,BIS,latin
osy,SIC,latin
teedam,CUM,latin
korol,FORAT,latin
yteedar,QUCEUAR,latin
shdol,LAEDIT,latin
sodair,FUAIR,latin
kchdar,DARE,latin
tsheed,THET,latin
chofchdy,JUS,latin
qopcheedy,NOCETIS,latin
ykeeeody,BINUS,latin
shtor,SED,latin
shdaldy,LATUS,latin
shshdar,HUAR,latin
kchedar,DECOR,latin
dkam,GAM,latin
odchdy,DATUS,latin
opoees,FIS,latin
olfar,JAR,latin
shoral,AL,occitan
sodaiiin,FUAMIN,latin
odsheo,HUC,latin
opchsey,DSES,latin
qotedain,SEVUM,latin
schsdy,ALIUS,latin
shyy,QUS,latin
olkeor,GEOR,latin
dtedair,TEUAIR,latin
oqokeol,NOCERAT,latin
olkshed,GHET,latin
dytshedy,QUCHEUS,latin
dytshy,QUCHS,latin
oltam,TAM,latin
pshdal,HUAT,latin
shdam,DICERE,latin
lfar,JAR,latin
ytaiim,QUANTUM,latin
pochor,VER,latin
ykeshy,QUCIHS,latin
ytaim,TAIN,occitan
skeeody,BINUS,latin
cheokaiim,DEACAMN,latin
yteeedy,QUALIS,latin
syty,QUAS,latin
keos,SED,latin
saiidy,AMUS,latin
sals,SED,latin
yteeos,QUCEAS,latin
dcheeol,DIAT,latin
yteeor,CERA,latin
cthosy,SIC,latin
scheom,DEUM,latin
shoeey,FIS,latin
lseeey,SIES,latin
doleeey,FTIES,latin
pcheoly,ET,latin
saldaiin,OLEUM,latin
chkeor,GEOR,latin
opykey,GENUS,latin
soteol,LAETO,latin
odoiin,VINUM,latin
sqokeo,NACEO,latin
keeodaiin,GEAUAMN,latin
doikhy,FICHS,latin
sheeos,HABES,latin
seey,IS,latin
oaithy,AICHS,latin
odory,FORS,latin
saloiin,ATAMN,latin
sorcheey,FRIS,latin
kosar,SARE,occitan
chtodaiin,TAUAMN,latin
eeeey,IES,latin
kory,FORS,latin
doral,AL,occitan
choeees,FIES,latin
ltcheody,SANC,latin
dso,SO,latin
osheokaiin,HEACAMN,latin
poleeol,FTIAT,latin
lkaldy,BOLUS,latin
shko,GO,latin
dsheeor,HIOR,latin
oys,QUS,latin
cphdaithy,AICHS,latin
podchey,FUES,latin
oes,FIS,latin
olsheod,HEAT,latin
ksheodal,FUAT,latin
cthodaim,LAIN,occitan
dalody,FIDES,latin
schodchy,ODORATUS,latin
shodam,FUAM,latin
osos,OS,latin
ocheodaiin,OLEUM,latin
olchod,DAT,latin
schos,DOS,latin
scheeol,DIAT,latin
opaiis,AMS,latin
kalchdy,ALTUS,latin
dytchdy,THUS,latin
sdal,DICIT,latin
oekeey,FECES,latin
shdaly,ALS,occitan
skchdy,ACUTUS,latin
kchedaiin,DEUM,latin
pshedar,DICIT,latin
sshor,HORAM,latin
ooror,OR,occitan
